,"Housing units, July 1, 2021, (V2021)","Owner-occupied housing unit rate, 2017-2021","Median value of owner-occupied housing units, 2017-2021","Median selected monthly owner costs -with a mortgage, 2017-2021","Median selected monthly owner costs -without a mortgage, 2017-2021","Median gross rent, 2017-2021","Building permits, 2021","Households, 2017-2021","Persons per household, 2017-2021","Living in same house 1 year ago of persons age 1 year+, 2017-2021","Language other than English spoken at home of persons age 5 years+, 2017-2021","Households with a computer, 2017-2021","Households with a broadband Internet subscription, 2017-2021",cluster_id,Banned or not,County Name
0,12703,73.2,118300,1159,403,593,25.0,10163,2.68,24760.26,495.76,23713.66,21014.55,0,0.0,"Adams County, Ohio"
1,44707,66.9,126900,1126,457,758,226.0,40671,2.42,88046.22,3151.77,92113.02,86724.51,0,1.0,"Allen County, Ohio"
2,22513,76.5,143100,1124,432,748,61.0,20531,2.46,45148.71,3191.28,46299.66,43317.65,0,0.0,"Ashland County, Ohio"
3,46355,71.6,121100,1086,426,735,168.0,38332,2.47,84877.86,6521.58,85948.57,80011.01,0,0.0,"Ashtabula County, Ohio"
4,26387,59.8,150800,1210,464,840,110.0,22381,2.41,43439.2,3226.91,56222.74,50079.19,0,0.0,"Athens County, Ohio"
5,20044,76.2,150200,1172,438,762,156.0,18872,2.43,41619.18,922.82,42311.3,39865.82,0,1.0,"Auglaize County, Ohio"
6,31575,75.8,116700,1013,416,694,4.0,25388,2.49,60581.08,921.89,55576.56,51889.01,0,0.0,"Belmont County, Ohio"
7,19454,73.5,141400,1146,438,742,122.0,16968,2.54,38728.19,392.96,37898.62,33969.04,0,0.0,"Brown County, Ohio"
8,154873,69.6,190500,1481,533,966,941.0,142881,2.64,335601.24,33169.89,366429.73,350430.13,2,1.0,"Butler County, Ohio"
9,13399,76.3,142600,1193,430,715,1.0,11300,2.34,24662.48,1334.55,23648.23,20472.0,0,0.0,"Carroll County, Ohio"
10,16905,74.8,146700,1183,531,779,51.0,15506,2.45,33784.23,425.69,35990.07,33358.54,0,0.0,"Champaign County, Ohio"
11,61040,68.1,127400,1111,458,755,199.0,55124,2.41,115559.32,4340.26,124917.99,119085.77,0,0.0,"Clark County, Ohio"
12,87402,73.2,190600,1443,550,912,1224.0,81785,2.52,184275.32,6498.9,196224.91,187419.95,2,0.0,"Clermont County, Ohio"
13,17944,69.2,149500,1193,465,774,88.0,16548,2.46,36291.46,1092.1,38601.68,36123.44,0,0.0,"Clinton County, Ohio"
14,46142,73.6,107300,1034,392,664,63.0,41313,2.39,90064.59,2026.2,89659.35,83884.68,0,0.0,"Columbiana County, Ohio"
15,16314,73.0,113800,1000,396,645,5.0,14517,2.49,32480.17,3332.24,30832.36,27902.92,0,0.0,"Coshocton County, Ohio"
16,19842,69.1,98600,931,399,695,10.0,18028,2.3,36367.73,1127.36,37829.12,35198.62,0,1.0,"Crawford County, Ohio"
17,615454,58.2,146800,1380,580,875,784.0,551267,2.24,1071974.05,151175.83,1134443.4,1048235.69,1,0.0,"Cuyahoga County, Ohio"
18,22645,71.9,134200,1118,422,682,63.0,20826,2.46,46127.72,773.96,45508.55,42722.32,0,0.0,"Darke County, Ohio"
19,16573,77.9,131400,1083,460,756,46.0,15075,2.51,33986.3,2021.63,34749.18,32231.68,0,0.0,"Defiance County, Ohio"
20,84176,79.1,336600,2205,833,1202,2359.0,76549,2.73,195134.16,20970.3,216104.46,210806.7,2,0.0,"Delaware County, Ohio"
21,38320,69.7,152800,1195,497,814,289.0,31984,2.32,66917.69,2544.97,68414.73,61079.23,0,0.0,"Erie County, Ohio"
22,63340,75.1,213500,1539,561,963,875.0,57841,2.67,142380.58,8536.39,150272.71,140931.0,2,0.0,"Fairfield County, Ohio"
23,12718,64.4,125000,1090,437,729,33.0,11471,2.49,25552.9,433.59,26131.02,24194.32,0,0.0,"Fayette County, Ohio"
24,589008,53.6,203200,1549,632,1070,6652.0,537109,2.39,1086202.31,187640.79,1257986.13,1201165.33,1,0.0,"Franklin County, Ohio"
25,17730,80.5,145600,1198,465,768,31.0,16763,2.52,38926.65,1698.0,39181.35,36973.95,0,0.0,"Fulton County, Ohio"
26,13440,76.7,120500,1200,435,718,14.0,11292,2.53,26533.78,1049.69,24171.98,21693.55,0,0.0,"Gallia County, Ohio"
27,37540,87.2,259900,1757,652,895,191.0,35249,2.68,88302.06,11754.5,86295.2,81612.51,2,0.0,"Geauga County, Ohio"
28,71889,66.8,190200,1510,582,938,685.0,66279,2.39,141466.08,9936.31,158980.93,152749.68,2,0.0,"Greene County, Ohio"
29,19041,71.9,126500,1072,425,731,26.0,16136,2.36,33539.41,1646.34,33615.99,30093.58,0,0.0,"Guernsey County, Ohio"
30,380401,58.7,172800,1460,604,875,1922.0,345878,2.34,696435.18,61134.29,765830.85,730306.88,1,0.0,"Hamilton County, Ohio"
31,33908,69.6,157300,1225,480,792,121.0,31164,2.35,64353.47,3882.11,69952.67,65697.28,0,1.0,"Hancock County, Ohio"
32,12904,71.6,114600,1106,408,710,24.0,11557,2.46,25997.23,2143.47,27497.66,25201.08,0,0.0,"Hardin County, Ohio"
33,7378,77.3,101600,962,398,608,0.0,5748,2.5,13521.52,579.08,12059.34,11335.49,0,0.0,"Harrison County, Ohio"
34,12063,78.3,138100,1141,481,785,19.0,11040,2.46,25004.5,1156.6,25252.35,24095.75,0,0.0,"Henry County, Ohio"
35,18977,71.6,126200,1092,396,704,71.0,16526,2.58,38628.41,1387.33,37241.09,33556.0,0,0.0,"Highland County, Ohio"
36,12994,78.3,144000,1180,446,701,12.0,11240,2.47,25680.66,533.84,25483.98,23517.19,0,0.0,"Hocking County, Ohio"
37,14578,77.7,231200,1348,455,700,4.0,13200,3.28,40817.86,21914.14,30414.18,26739.68,0,0.0,"Holmes County, Ohio"
38,25507,72.0,133600,1110,452,750,142.0,23288,2.48,52238.46,2217.95,53055.6,48678.08,0,0.0,"Huron County, Ohio"
39,14512,75.0,111400,1106,421,685,51.0,12361,2.6,29650.03,780.26,28252.06,25716.2,0,0.0,"Jackson County, Ohio"
40,31081,70.9,102800,1055,429,694,6.0,26776,2.37,58180.52,1295.78,55070.65,52997.4,0,0.0,"Jefferson County, Ohio"
41,25920,72.6,168700,1267,467,826,351.0,22908,2.57,55412.26,3270.64,57299.17,53651.14,0,1.0,"Knox County, Ohio"
42,105937,74.5,166200,1349,560,952,775.0,98217,2.34,206732.49,19025.89,216013.41,207892.61,2,0.0,"Lake County, Ohio"
43,26519,72.1,112200,1090,435,759,16.0,22608,2.56,52045.17,631.9,49862.26,45841.11,0,0.0,"Lawrence County, Ohio"
44,73008,73.4,195100,1472,527,894,363.0,66342,2.62,157490.07,8118.04,169035.74,162000.1,2,0.0,"Licking County, Ohio"
45,23789,75.8,148600,1167,489,740,126.0,18928,2.41,40787.01,1242.95,42628.41,40418.73,0,1.0,"Logan County, Ohio"
46,135686,72.5,164600,1368,542,821,1127.0,123500,2.45,282141.93,21144.86,293187.76,260365.88,2,0.0,"Lorain County, Ohio"
47,200856,61.2,127900,1261,499,803,460.0,179358,2.35,367816.69,27468.22,394855.72,369962.64,2,0.0,"Lucas County, Ohio"
48,16359,73.8,173400,1372,508,870,89.0,15181,2.55,37772.49,1864.21,40701.96,38793.36,0,0.0,"Madison County, Ohio"
49,107973,69.8,114600,1120,438,706,194.0,97293,2.29,200457.61,14059.24,203405.51,191613.89,0,0.0,"Mahoning County, Ohio"
50,27357,67.3,114800,1074,426,782,49.0,24251,2.47,55693.22,3003.39,59545.39,55627.93,0,0.0,"Marion County, Ohio"
51,75697,79.8,219900,1540,569,958,463.0,71360,2.52,166613.72,7872.96,174852.86,164782.8,2,1.0,"Medina County, Ohio"
52,10664,77.5,100300,1010,382,639,6.0,8719,2.54,19932.3,264.59,18366.82,15742.99,0,0.0,"Meigs County, Ohio"
53,18013,79.6,169500,1197,473,679,85.0,15923,2.61,37993.48,888.49,38966.59,37697.32,0,0.0,"Mercer County, Ohio"
54,46998,73.0,165600,1238,478,832,307.0,43279,2.47,96261.58,4261.3,101615.52,97026.43,0,0.0,"Miami County, Ohio"
55,7132,78.6,115500,980,366,584,1.0,5565,2.4,12475.94,226.59,11129.72,9943.43,0,0.0,"Monroe County, Ohio"
56,252095,62.0,133400,1255,515,849,1047.0,226199,2.29,445818.88,33222.08,492972.8,467788.32,2,0.0,"Montgomery County, Ohio"
57,7286,77.1,103500,993,361,641,55.0,5629,2.45,12519.03,164.18,11424.47,10165.73,0,0.0,"Morgan County, Ohio"
58,14584,80.6,163300,1307,461,851,150.0,13048,2.65,32198.32,2284.82,32233.47,29737.75,0,0.0,"Morrow County, Ohio"
59,38337,70.3,132800,1140,411,719,21.0,33970,2.48,75952.63,2160.2,76298.26,72755.54,0,0.0,"Muskingum County, Ohio"
60,5785,79.3,113500,1044,368,652,25.0,4608,2.58,12517.41,567.04,11340.8,10376.83,0,0.0,"Noble County, Ohio"
61,28744,81.0,160500,1284,467,774,172.0,17930,2.21,36614.95,1122.91,36975.89,33326.42,0,0.0,"Ottawa County, Ohio"
62,8521,80.2,107700,1030,422,704,29.0,7480,2.51,16965.03,471.78,16700.84,14530.67,0,0.0,"Paulding County, Ohio"
63,15006,76.7,136300,1148,439,654,47.0,13071,2.69,32197.68,921.96,31594.86,29077.2,0,0.0,"Perry County, Ohio"
64,22540,72.6,185400,1437,525,851,262.0,20706,2.61,50433.05,949.33,54467.69,50373.72,2,0.0,"Pickaway County, Ohio"
65,12076,66.9,118400,1125,414,760,29.0,10478,2.56,24623.9,460.51,23784.14,20316.75,0,0.0,"Pike County, Ohio"
66,71037,70.4,168500,1382,522,921,427.0,63372,2.43,140460.43,6820.04,150528.11,138511.85,2,0.0,"Portage County, Ohio"
67,18120,78.0,141600,1149,443,754,48.0,16648,2.44,37188.97,735.61,36862.03,34205.68,0,0.0,"Preble County, Ohio"
68,13869,85.5,158300,1227,445,754,47.0,13158,2.59,32053.01,1407.04,31675.51,29273.25,0,0.0,"Putnam County, Ohio"
69,54634,67.2,123900,1100,426,694,115.0,49505,2.37,107417.31,5383.38,111298.36,103285.88,0,0.0,"Richland County, Ohio"
70,32065,70.8,134300,1227,440,784,15.0,29455,2.43,66510.72,1307.15,68971.23,64280.88,0,0.0,"Ross County, Ohio"
71,26496,72.9,124700,1101,445,719,52.0,23797,2.43,52843.5,2466.03,52960.93,48850.88,0,0.0,"Sandusky County, Ohio"
72,33087,68.3,107600,1130,414,669,4.0,28152,2.52,63957.71,1026.84,62930.87,59043.53,0,0.0,"Scioto County, Ohio"
73,20116,71.4,154500,1227,482,787,75.0,18429,2.6,42603.58,959.54,43994.91,41787.97,0,0.0,"Shelby County, Ohio"
74,167323,68.0,146100,1178,449,784,952.0,154426,2.37,327852.42,11962.69,342805.78,315889.73,2,0.0,"Stark County, Ohio"
75,94373,71.4,109300,1046,430,707,120.0,84989,2.33,184624.2,9664.08,175564.12,160464.0,0,0.0,"Trumbull County, Ohio"
76,40845,69.9,144700,1167,439,796,64.0,37661,2.44,79642.5,7585.0,81955.0,74370.0,0,0.0,"Tuscarawas County, Ohio"
77,5933,76.0,98500,1028,431,646,2.0,5052,2.53,11616.84,330.1,10004.45,8811.02,0,0.0,"Vinton County, Ohio"
78,95160,78.6,250300,1723,642,1156,1406.0,86981,2.67,215487.32,22929.43,238416.75,231020.16,2,0.0,"Warren County, Ohio"
79,27969,74.1,146600,1128,414,725,5.0,24435,2.39,51995.12,1485.58,52113.97,47478.98,0,0.0,"Washington County, Ohio"
80,46830,74.7,164300,1243,474,770,189.0,43964,2.56,101887.83,15055.59,101304.28,95818.91,0,0.0,"Wayne County, Ohio"
81,16571,76.9,111500,1044,412,718,31.0,15261,2.36,32750.67,1138.2,32713.96,30914.87,0,0.0,"Williams County, Ohio"
82,23973,72.6,113000,1049,433,740,48.0,21862,2.38,47823.13,1921.71,49580.12,46011.23,0,1.0,"Seneca County, Ohio"
83,57308,64.2,177000,1437,553,845,547.0,53010,2.37,106375.02,6093.71,126113.34,118827.38,2,0.0,"Wood County, Ohio"
84,24130,81.2,242400,1696,626,1050,1253.0,21654,2.71,55095.41,4612.94,62177.25,60228.12,2,1.0,"Union County, Ohio"
85,9847,72.5,133600,1139,420,682,70.0,9036,2.4,20123.32,607.82,19884.53,18386.68,0,0.0,"Wyandot County, Ohio"
86,246735,66.8,159800,1299,525,882,788.0,228283,2.33,472041.77,37634.31,497310.52,473117.04,2,0.0,"Summit County, Ohio"
87,12559,78.0,112300,957,405,721,37.0,11553,2.47,25887.53,689.57,26088.66,23818.83,0,0.0,"Van Wert County, Ohio"
