,Fact,"Population Estimates, July 1 2021, (V2021)","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2017-2021","Foreign born persons, percent, 2017-2021","Housing units, July 1, 2021, (V2021)","Owner-occupied housing unit rate, 2017-2021","Median value of owner-occupied housing units, 2017-2021","Median selected monthly owner costs -with a mortgage, 2017-2021","Median selected monthly owner costs -without a mortgage, 2017-2021","Median gross rent, 2017-2021","Building permits, 2021","Households, 2017-2021","Persons per household, 2017-2021","Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","Households with a computer, percent, 2017-2021","Households with a broadband Internet subscription, percent, 2017-2021","High school graduate or higher, percent of persons age 25 years+, 2017-2021","Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","With a disability, under age 65 years, percent, 2017-2021","Persons without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2017-2021","In civilian labor force, female, percent of population age 16 years+, 2017-2021","Total retail sales per capita, 2017","Mean travel time to work (minutes), workers age 16 years+, 2017-2021","Median household income (in 2021 dollars), 2017-2021","Per capita income in past 12 months (in 2021 dollars), 2017-2021","Persons in poverty, percent","Total employer establishments, 2020","Total employment, 2020","Total annual payroll, 2020 ($1,000)","Population per square mile, 2020","Land area in square miles, 2020",Banned or not
40,Jefferson County Ohio,64789,3304.2389999999996,12763.433,14383.158000000001,33042.39,59087.568,3563.395,129.578,388.73400000000004,,1619.725,1166.202,58180.522000000004,4649,842.257,31081,70.9,102800,1055,429,694,6.0,26776,2.37,58180.522000000004,1295.78,55070.65,52997.402,60059.403,11856.386999999999,8163.414000000001,4729.597,35763.528000000006,33495.913,12668,23.3,49211,28207,11143.708,1188,18549,702650,159.9,408.12,0.0
41,Knox County Ohio,62897,3710.9230000000007,14403.412999999999,11824.636,31762.985,60695.605,628.97,188.69099999999997,377.38199999999995,,943.455,1132.146,59752.15,4132,817.6610000000001,25920,72.6,168700,1267,467,826,351.0,22908,2.57,55412.25699999999,3270.6440000000002,57299.166999999994,53651.140999999996,57676.549000000006,14277.618999999999,6038.111999999999,5660.73,37926.890999999996,35033.629,10155,27.5,64439,29383,7862.125,1095,18357,733504,119.4,525.5,1.0
42,Lake County Ohio,232023,11137.104,45244.485,48956.85300000001,118099.707,210908.90700000004,12297.219,464.04600000000005,3712.3680000000004,,4640.46,11601.15,200931.91799999998,14005,12993.287999999999,105937,74.5,166200,1349,560,952,775.0,98217,2.34,206732.49299999996,19025.886,216013.41299999997,207892.60799999998,215781.39,67054.647,20186.001,18329.817000000003,151743.04200000002,142462.122,16320,23.8,70168,37586,16241.61,5498,86083,4245635,1014.5,229.27,0.0
43,Lawrence County Ohio,57445,3044.585,12465.565,11086.885,29296.95,54687.64,1263.7900000000002,172.335,287.225,,1034.01,574.45,54228.08,3967,517.005,26519,72.1,112200,1090,435,759,16.0,22608,2.56,52045.17,631.8950000000001,49862.26,45841.11,51068.605,9708.204999999998,10454.99,4595.6,30158.625,28148.05,9691,22.7,48947,25754,9880.54,791,10304,361227,128.5,453.39,0.0
44,Licking County Ohio,180401,10463.258,41492.23,30848.571,91102.505,161098.093,7937.644,721.604,5953.232999999999,180.401,4690.426,4149.223,157670.47400000002,12598,5953.232999999999,73008,73.4,195100,1472,527,894,363.0,66342,2.62,157490.07299999997,8118.045,169035.737,162000.098,167412.128,51594.68600000001,20565.714,13530.075,113291.828,106256.189,14373,27.0,72771,35931,19844.11,3022,56800,2444812,261.6,682.43,0.0
45,Logan County Ohio,46035,2623.995,10542.015,8792.685000000001,23109.57,43411.005,920.7,138.105,414.315,46.035,1104.84,966.735,42582.375,2873,598.455,23789,75.8,148600,1167,489,740,126.0,18928,2.41,40787.009999999995,1242.9450000000002,42628.41,40418.73,42720.48,8240.265,4465.3949999999995,3498.66,28219.455,26378.055,11151,22.1,64196,32868,4649.535,808,16703,789601,100.7,458.51,1.0
46,Lorain County Ohio,315595,17042.13,68799.71,60594.24,159059.88,270780.51,28403.55,1262.38,4733.925,315.595,10414.635,34084.26,243323.745,18562,8836.66,135686,72.5,164600,1368,542,821,1127.0,123500,2.45,282141.93,21144.865,293187.755,260365.875,286875.855,82054.7,30612.715,23669.625,190619.38,182098.315,12604,24.8,62390,33799,40396.16,5483,85777,3665272,638.0,490.54,0.0
47,Lucas County Ohio,429191,26180.650999999998,99143.12100000001,73391.66100000001,220604.174,315884.576,87984.155,1716.7640000000001,7725.438,429.19100000000003,15450.876,33476.898,289274.734,20910,16309.257999999998,200856,61.2,127900,1261,499,803,460.0,179358,2.35,367816.68700000003,27468.224000000002,394855.72,369962.64200000005,387130.282,118027.525,50215.346999999994,32618.515999999996,271248.71200000006,255368.645,15002,20.6,53176,31632,74679.234,9297,188890,9467561,1269.7,339.66,0.0
48,Madison County Ohio,44386,2263.6859999999997,9010.358,7146.146000000001,20151.244,39814.242,2885.09,177.544,665.79,,798.948,1198.422,38793.364,2666,665.79,16359,73.8,173400,1372,508,870,89.0,15181,2.55,37772.486,1864.2120000000002,40701.962,38793.364,39237.224,8877.2,4838.0740000000005,3284.5640000000003,25166.862,26675.986,39612,24.9,72811,31493,5947.724,687,15459,687596,94.1,465.81,0.0
49,Mahoning County Ohio,226762,12018.385999999999,45579.162000000004,49434.11600000001,114514.81,181636.362,36281.92,680.286,2040.8580000000002,226.762,5895.812000000001,15873.34,169844.738,13771,4988.764,107973,69.8,114600,1120,438,706,194.0,97293,2.29,200457.608,14059.244,203405.51400000002,191613.89,207260.468,56463.738,26531.154,19274.77,136510.72400000002,129707.864,16442,22.3,50750,30421,43765.066000000006,5295,84892,3327818,555.6,411.49,0.0
50,Marion County Ohio,65291,3656.296,13906.983,12078.835,30490.897,58696.609000000004,4374.497,195.873,391.746,65.291,1501.693,2024.021,57129.625,4542,1044.656,27357,67.3,114800,1074,426,782,49.0,24251,2.47,55693.223,3003.386,59545.392,55627.932,58696.609000000004,8553.121,9140.74,4962.116,34669.521,34277.775,12471,23.4,51144,26823,10315.978000000001,1094,22275,918875,161.9,403.81,0.0
51,Medina County Ohio,183092,8971.508,39730.964,34970.572,91912.18400000001,174303.58400000003,2929.472,366.184,2563.288,,2746.38,4760.392,170275.56,9712,5492.76,75697,79.8,219900,1540,569,958,463.0,71360,2.52,166613.72,7872.956,174852.86,164782.8,174120.492,64082.2,13182.624000000002,11351.704000000002,123587.1,113883.224,17492,27.2,82894,41100,11168.612,3978,54701,2461886,432.9,421.46,1.0
52,Meigs County Ohio,22049,1080.401,4630.29,4630.29,11046.549,21409.578999999998,220.49,66.14699999999999,66.14699999999999,,286.637,198.44100000000003,21255.236,1313,66.14699999999999,10664,77.5,100300,1010,382,639,6.0,8719,2.54,19932.296000000002,264.58799999999997,18366.817,15742.986,18763.699,2734.0760000000005,3549.889,2050.5570000000002,11068.598,10120.491,8072,32.3,44113,24812,4652.339,313,2571,73632,51.6,430.1,0.0
53,Mercer County Ohio,42309,3215.4839999999995,11127.267,8038.71,20858.337,40785.876000000004,211.545,126.92699999999999,253.85399999999998,380.781,550.017,803.8709999999999,40151.241,2087,676.9440000000001,18013,79.6,169500,1197,473,679,85.0,15923,2.61,37993.481999999996,888.489,38966.589,37697.318999999996,39305.061,8631.036,2580.849,3173.175,29320.137,27754.703999999998,13410,19.1,68692,32528,3088.5570000000002,1027,16352,663713,92.0,462.45,0.0
54,Miami County Ohio,109264,6228.048000000001,25239.984000000004,20978.688,55069.056,101506.25600000001,2950.1280000000006,218.52800000000002,1966.7520000000002,,2513.0719999999997,2185.28,99648.76800000001,6858,3387.184,46998,73.0,165600,1238,478,832,307.0,43279,2.47,96261.58399999999,4261.295999999999,101615.52,97026.43199999999,101834.04800000001,26551.152000000002,8413.328000000001,7539.216000000001,70803.07199999999,63263.856,13469,21.6,66284,34178,8959.648,2112,37222,1593764,267.6,406.52,0.0
55,Monroe County Ohio,13329,653.1210000000001,2732.445,3158.973,6557.868,12969.117,93.303,26.658,26.658,,213.264,93.303,12889.143,885,79.97399999999999,7132,78.6,115500,980,366,584,1.0,5565,2.4,12475.944,226.593,11129.715,9943.434,11969.442,1679.454,1706.112,1346.229,6744.474,5731.47,5400,33.7,50503,30569,1892.7179999999998,263,1820,60937,29.4,455.72,0.0
56,Montgomery County Ohio,535840,31614.56,118420.64,98058.72,276493.44,387948.16,116277.28,1607.52,12860.16,535.84,16611.04,19290.24,372408.8,37254,26792.0,252095,62.0,133400,1255,515,849,1047.0,226199,2.29,445818.88,33222.08,492972.8,467788.32,487614.4,156465.28,59478.24,44474.72,331684.96,309715.52,15868,22.1,56543,32692,81447.68,10960,236680,11710997,1164.6,461.35,0.0
57,Morgan County Ohio,13682,670.418,2818.492,3051.0860000000002,6813.6359999999995,12628.485999999999,410.46,54.728,27.364,,547.28,136.82,12546.394000000002,786,54.728,7286,77.1,103500,993,361,641,55.0,5629,2.45,12519.03,164.18399999999997,11424.47,10165.726,11588.654000000002,1491.3380000000002,2107.0280000000002,1286.108,6909.41,6827.317999999999,4056,35.5,44848,23497,2243.848,158,2206,77860,33.1,416.43,0.0
58,Morrow County Ohio,35151,1933.305,7768.371000000001,6502.935,17434.896,34026.168,316.35900000000004,105.45299999999999,175.755,,562.416,632.7180000000001,33498.903,2214,386.66100000000006,14584,80.6,163300,1307,461,851,150.0,13048,2.65,32198.315999999995,2284.815,32233.467,29737.745999999996,31284.39,5272.65,4007.2140000000004,3374.4959999999996,22461.488999999998,21055.449,5005,30.6,63411,30352,3972.0630000000006,408,4020,131238,86.1,406.13,0.0
59,Muskingum County Ohio,86408,5098.072,19614.615999999998,15899.072,44154.488,79408.952,3369.9120000000003,259.224,518.448,,2765.0560000000005,1123.304,78631.28,5328,432.04,38337,70.3,132800,1140,411,719,21.0,33970,2.48,75952.632,2160.2,76298.264,72755.53600000001,77594.38399999999,15726.256,8986.432,6912.64,51585.57600000001,47697.21600000001,15450,25.0,52224,28877,13652.464000000002,1667,27960,1201764,130.0,664.55,0.0
60,Noble County Ohio,14176,708.8,2665.0879999999997,4068.512,5712.927999999999,13438.848,467.80799999999994,56.70400000000001,42.528,,170.112,113.40800000000002,13353.792,1060,85.056,5785,79.3,113500,1044,368,652,25.0,4608,2.58,12517.408000000001,567.04,11340.8,10376.832,12049.6,1715.296,1644.4160000000002,1318.3680000000002,5301.8240000000005,6464.255999999999,5632,25.6,46144,26411,2310.688,219,1903,55417,35.5,398.01,0.0
61,Ottawa County Ohio,40104,1644.264,7218.72,10587.455999999998,20052.0,38740.464,441.144,120.31199999999998,160.416,,641.664,2165.616,36815.471999999994,3183,481.24799999999993,28744,81.0,160500,1284,467,774,172.0,17930,2.21,36614.952,1122.912,36975.888000000006,33326.424,37056.096,10427.04,3288.528,3368.7360000000003,23180.111999999997,21776.471999999998,10889,25.0,64463,40728,3368.7360000000003,1014,9878,451384,158.5,254.7,0.0
62,Paulding County Ohio,18871,1151.1309999999999,4547.911,3623.232,9435.5,18191.644,226.452,94.355,56.613,,283.065,981.2919999999999,17380.191,1167,264.19399999999996,8521,80.2,107700,1030,422,704,29.0,7480,2.51,16965.029000000002,471.775,16700.835,14530.67,16927.287,3057.1020000000003,2472.101,1679.519,10945.18,9831.791,7269,23.8,59987,30831,1943.7130000000002,298,4045,141660,45.2,416.44,0.0
63,Perry County Ohio,35460,2056.68,8368.56,6240.96,17623.62,34431.66,212.76,141.84,70.92,35.46,567.36,354.6,34112.52,2578,177.3,15006,76.7,136300,1148,439,654,47.0,13071,2.69,32197.68,921.96,31594.86,29077.2,31488.48,4751.64,5319.0,3085.02,19680.3,18687.42,5334,32.1,58616,26299,4928.94,437,4442,150303,86.8,407.93,0.0
64,Pickaway County Ohio,59333,3144.6489999999994,12756.595,9552.613000000001,27945.843000000004,55357.68899999999,2373.32,177.99899999999997,355.99799999999993,,1067.9940000000001,1008.661,54586.36,3723,474.664,22540,72.6,185400,1437,525,851,262.0,20706,2.61,50433.05,949.328,54467.693999999996,50373.717000000004,51738.376000000004,11629.268,6645.295999999999,4093.9770000000003,32989.148,32989.148,8044,28.7,63629,30342,6051.965999999999,783,10411,425955,116.8,501.23,0.0
65,Pike County Ohio,27089,1706.6069999999997,6474.271,4984.376,13598.678,25815.816999999995,352.15700000000004,216.71200000000002,81.267,27.089000000000002,595.9580000000001,352.15700000000004,25572.016,2036,189.623,12076,66.9,118400,1125,414,760,29.0,10478,2.56,24623.901,460.513,23784.141999999996,20316.75,23052.738999999998,3982.083,5011.465,2329.654,13490.322,12650.563,10055,28.5,44961,26568,5201.088,402,7184,352191,61.5,440.28,0.0
66,Portage County Ohio,162382,7144.808000000001,29715.906000000003,28741.613999999998,82490.056,146630.946,8119.1,324.764,3410.022,162.382,3734.7859999999996,3572.4040000000005,143708.07,8573,4871.46,71037,70.4,168500,1382,522,921,427.0,63372,2.43,140460.43,6820.044,150528.114,138511.846,150040.968,48876.982,14289.616000000002,13477.706,106360.21,99540.166,14668,25.2,64163,34290,20135.368000000002,2958,47923,2049113,331.9,487.41,0.0
67,Preble County Ohio,40867,2165.951,9113.341,8132.532999999999,20433.5,39518.388999999996,326.93600000000004,163.46800000000002,286.06899999999996,,572.1379999999999,449.53700000000003,39150.586,2703,367.80300000000005,18120,78.0,141600,1149,443,754,48.0,16648,2.44,37188.97,735.6060000000001,36862.034,34205.679,37352.438,7519.527999999999,4291.035,3024.158,25133.205,22640.318,9414,26.3,60527,31040,4495.37,664,9668,444669,96.6,424.23,0.0
68,Putnam County Ohio,34318,2196.3520000000003,8854.044,6314.512,17021.728,33563.004,240.226,137.27200000000002,102.954,,274.54400000000004,2333.624,31435.287999999997,1454,446.134,13869,85.5,158300,1227,445,754,47.0,13158,2.59,32053.012000000002,1407.0379999999998,31675.514,29273.254,32464.827999999998,8510.864,1887.49,2711.1220000000003,23027.377999999997,21414.431999999997,8558,22.4,73122,33676,2436.578,729,9933,398620,71.4,482.54,0.0
69,Richland County Ohio,125195,7010.92,27417.705,25039.0,61220.355,108794.455,11893.525,250.39,1126.755,125.195,3129.875,2754.29,106540.945,8429,2003.12,54634,67.2,123900,1100,426,694,115.0,49505,2.37,107417.31,5383.385,111298.355,103285.875,110672.38,22284.71,15148.595,11142.355,71110.76,68982.445,13626,22.4,52605,27534,16776.13,2606,39890,1479026,252.3,495.23,0.0
70,Ross County Ohio,76891,4075.223,16224.001,13532.816,36446.334,69586.355,4459.678,230.673,384.455,,2076.0570000000002,1076.474,68817.445,5240,692.0190000000001,32065,70.8,134300,1227,440,784,15.0,29455,2.43,66510.715,1307.147,68971.227,64280.876,68279.208,12994.579,10764.74,6228.170999999999,41136.685,41213.576,14604,26.8,54004,27086,14532.399,1233,22077,953471,111.9,689.17,0.0
71,Sandusky County Ohio,58715,3170.61,12917.3,11625.57,29416.215,54428.805,2113.74,234.86,293.575,,1644.02,6282.505,48850.88,3550,998.155,26496,72.9,124700,1101,445,719,52.0,23797,2.43,52843.5,2466.03,52960.93,48850.88,54370.09,10627.415,6869.655,5108.204999999999,35992.295,32821.685,11573,19.4,56414,29904,7691.665,1273,22041,942599,144.3,408.25,0.0
72,Scioto County Ohio,73346,4034.03,15989.428,13789.048,36966.384,69018.586,2053.688,440.07599999999996,293.384,,1540.266,1173.536,68065.088,4573,513.422,33087,68.3,107600,1130,414,669,4.0,28152,2.52,63957.712,1026.844,62930.867999999995,59043.53,63077.56,12028.743999999999,13642.356000000002,5794.334,34105.89,33079.046,12246,27.1,43266,23958,17529.694,1240,19183,721708,121.3,610.15,0.0
73,Shelby County Ohio,47977,3070.528,11850.319,8347.998,23748.615,44954.449,1151.448,95.954,575.724,47.977,1151.448,767.632,44330.748,2824,767.632,20116,71.4,154500,1227,482,787,75.0,18429,2.6,42603.575999999994,959.54,43994.90900000001,41787.967,42987.392,9163.607,4173.999,3502.321,32528.406000000003,30369.441000000003,10067,18.7,66536,31861,5133.539,964,24765,1287376,118.3,407.69,0.0
74,Stark County Ohio,373834,20560.87,80374.31,75140.634,191029.17400000003,327104.75,30280.554,1121.502,3738.34,,11215.02,8972.016,320001.904,23509,7850.514,167323,68.0,146100,1178,449,784,952.0,154426,2.37,327852.418,11962.688,342805.77800000005,315889.73,345048.78199999995,88224.82400000001,36261.898,28411.384,231777.08,212711.54599999997,14450,21.6,58170,31765,47850.752,8005,143048,5849718,651.6,575.27,0.0
75,Trumbull County Ohio,201335,10469.42,41475.01,44495.035,102479.515,177174.8,17717.480000000003,402.67,1208.01,,4630.704999999999,4228.035,173953.44,14454,3020.025,94373,71.4,109300,1046,430,707,120.0,84989,2.33,184624.195,9664.08,175564.12,160463.995,179590.82,38857.655,24764.205,18522.819999999996,109928.91,102479.515,12896,23.6,50258,28123,31206.925,3817,55664,2097513,326.8,618.1,0.0
76,Tuscarawas County Ohio,92500,5735.0,21182.5,18500.0,46435.0,88985.0,925.0,555.0,370.0,277.5,1387.5,3330.0,86580.0,5457,1387.5,40845,69.9,144700,1167,439,796,64.0,37661,2.44,79642.49999999999,7584.999999999999,81954.99999999999,74370.00000000001,81770.00000000001,17019.999999999996,9990.000000000002,10267.5,57257.5,50690.0,12933,23.5,57545,29276,11470.0,2062,30562,1240618,164.4,567.39,0.0
77,Vinton County Ohio,12696,672.888,2704.248,2361.456,6309.912,12315.12,76.17599999999999,50.784000000000006,50.784000000000006,,203.13600000000002,139.656,12200.855999999998,634,101.56800000000001,5933,76.0,98500,1028,431,646,2.0,5052,2.53,11616.84,330.096,10004.447999999999,8811.024,10182.192000000001,1663.1760000000002,2044.056,1180.728,6932.016,6513.047999999999,2320,35.3,46653,25263,2450.328,147,1641,50807,31.0,412.36,0.0
78,Warren County Ohio,246553,13560.415,58926.166999999994,37476.056,121550.62899999999,214254.55700000003,9615.567,493.10600000000005,17012.157000000003,246.55300000000003,4931.06,7889.696000000001,207351.07299999997,12515,19231.134,95160,78.6,250300,1723,642,1156,1406.0,86981,2.67,215487.32200000004,22929.429000000004,238416.75100000002,231020.16100000002,233239.13799999998,108729.873,16765.604,12820.756000000001,160506.003,151630.095,12796,25.7,95709,45255,14546.627000000002,4456,83544,4528870,603.7,401.43,0.0
79,Washington County Ohio,59423,2911.7270000000003,11765.754,13013.636999999999,30008.615,56867.81100000001,772.4990000000001,178.26899999999998,415.961,,1129.037,713.0759999999999,56273.581000000006,4903,831.922,27969,74.1,146600,1128,414,725,5.0,24435,2.39,51995.125,1485.575,52113.971000000005,47478.977,54312.622,11765.754,7784.413,4634.994,34524.763000000006,31375.343999999997,14565,23.2,54167,31375,8081.527999999999,1351,22846,1062679,94.6,631.97,0.0
80,Wayne County Ohio,116710,7352.73,28243.82,21824.77,58238.29,111224.63,1867.36,233.42,1283.8100000000002,116.71,2100.78,2567.6200000000003,109123.85,5834,2567.6200000000003,46830,74.7,164300,1243,474,770,189.0,43964,2.56,101887.83,15055.59,101304.28,95818.91,100487.31,27310.14,10854.03,14121.91,72943.75,64307.21,11768,20.2,64594,30362,11204.16,2482,43423,1792709,210.7,554.79,0.0
81,Williams County Ohio,36716,2092.812,8114.236000000001,7343.2,18321.284,35394.224,477.30800000000005,146.864,220.296,,440.592,1909.2320000000002,33705.288,1996,587.456,16571,76.9,111500,1044,412,718,31.0,15261,2.36,32750.672000000002,1138.1960000000001,32713.955999999995,30914.872000000003,33668.572,5360.536,4148.908,3047.4280000000003,22800.636000000002,21735.872000000003,10145,17.9,55030,28831,3304.44,780,15739,623325,88.2,420.66,0.0
82,Seneca County Ohio,54906,3019.83,11914.601999999999,10377.233999999999,27288.282000000003,51446.922,1482.4620000000002,164.718,439.24800000000005,54.906000000000006,1372.65,3129.6420000000003,48756.528,3361,878.4960000000001,23973,72.6,113000,1049,433,740,48.0,21862,2.38,47823.126,1921.71,49580.117999999995,46011.227999999996,51062.58,9828.173999999999,5655.318,4447.3859999999995,34480.968,32504.352000000003,10226,20.7,56043,28992,6588.72,1025,16462,607851,99.9,551.03,1.0
83,Wood County Ohio,132472,6623.6,26891.816000000003,21327.992000000002,66765.88799999999,122801.54400000001,3841.688,397.416,2649.44,,2649.44,8080.7919999999995,115648.056,6213,4371.576,57308,64.2,177000,1437,553,845,547.0,53010,2.37,106375.016,6093.7119999999995,126113.344,118827.384,125848.4,48087.335999999996,11657.536,9405.511999999999,90213.43199999999,84517.136,14333,20.7,66337,36047,14439.448,2701,57707,2719738,214.3,617.16,0.0
84,Union County Ohio,64971,3963.2309999999998,15852.923999999999,8446.23,33460.065,58214.015999999996,1754.217,129.942,3703.347,,1169.478,1624.275,56784.654,3081,3508.434,24130,81.2,242400,1696,626,1050,1253.0,21654,2.71,55095.407999999996,4612.941,62177.247,60228.117,61332.624,24559.037999999997,4418.028,3573.405,43725.483,38527.803,13966,25.9,96634,44442,3573.405,1083,25265,1591247,145.4,431.76,1.0
85,Wyandot County Ohio,21708,1128.816,4840.884,4428.432,10897.416000000001,21121.884,108.54,65.124,151.956,,260.496,716.3639999999999,20514.06,1341,303.912,9847,72.5,133600,1139,420,682,70.0,9036,2.4,20123.316000000003,607.824,19884.528,18386.676,20318.688,4211.352,1801.7640000000001,1758.348,13979.952000000001,12851.136,12356,22.9,61626,30596,1714.932,494,9495,425207,53.8,406.88,0.0
